Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments
ui_loading,,,"Loading...
Please wait a moment.",,"로딩 중 입니다. 
잠시만 기다려주세요.",
ui_alarm_not_ready,,,Getting ready. ,,준비 중 입니다,
ui_modal_confirm,,,Confirm,,확 인,
ui_modal_cancel,,,Cancel,,취 소,
ui_modal_yes,,,Yes,,예,
ui_modal_no,,,No,,아니오,
ui_modal_next,,,Next,,다 음,
ui_modal_previous,,,Previous,,이 전,
ui_modal_review_head,,,Thank you for using Smarcare.,,스마케어를 이용해주셔서 감사합니다.,
ui_modal_review_content,,,"Those who leave a review will receive
all paid games for 30 days
30 days.
Leave a review now?",,평가를 남겨주신 분들은 모든 유료게임을 30일동안 이용하실수있어요. 지금 남기시겠습니까?,
ui_splash_introduction_0,,,You'll find a wealth of content to help prevent dementia.,,치매 예방을 위한 다양한 콘텐츠를 만나 볼 수 있습니다.,
ui_splash_introudction_1,,,The programme was developed in collaboration with researchers from the Big Data Centre at Catholic University Hospital and a team of cognitive psychology researchers.,,가톨릭 대학병원 빅데이터 센터 연구진과 인지심리 연구팀이 협력하여 개발한 프로그램입니다. ,
ui_intro_button,,,Getting started with Sma-Care,,스마케어 시작하기,
ui_toast_exit,,,Tap once more to exit.,,한 번 더 누르시면 종료합니다.,
ui_main_menu_0,,,Assessment & Training,,검사·훈련,
ui_main_training_menu_1,,,Self-Assessment,,치매 자가 진단,
ui_main_training_menu_2,,,Dementia Prevention,,치매 예방 훈련 ,
ui_main_training_menu_3,,,My Report,,결과 보기,
ui_main_menu_1,,,Understanding Dementia,,치매 알기,
ui_main_know_dementia_menu_1,,,OX Quiz,,치매 OX퀴즈,
ui_main_know_dementia_menu_2,,,Know the types,,치매 종류 알기,
ui_main_know_dementia_menu_3,,,Know the criteria,,치매 기준 알기,
ui_main_mypage_name,,,Dear {textLabel.userName},,{textLabel.userName} 님,
ui_main_mypage_point_receive,,,Go to earn points.,,포인트 받으러 가기,
ui_main_mypage_point,,,Point,,포인트,
ui_main_mypage_notice,,,Notice,,공지사항,
ui_main_mypage_free_tier_comment,,,Play all games without limits.,,모든 게임을 제한 없이 즐기세요,
ui_main_mypage_free_tier_view,,,View pass,,이용권 보러가기.,
ui_main_mypage_vip_tier_comment,,,You are a premium member.,,회원님은 유료회원 입니다.,
ui_main_mypage_vip_tier_view,,,Check remaining period.,,남은 기간 확인하기.,
ui_main_mypage_settings,,,Settings,,설정,
ui_main_mypage_myInfo,,,My Information,,내 정보,
ui_main_mypage_edit,,,Edit,,수정,
ui_main_mypage_media,,,Sounds/Vibrations,,소리/진동,
ui_main_mypage_turnOff,,,Off,,끄기,
ui_main_mypage_turnOn,,,On,,켜기,
ui_main_mypage_delete_account_0,,,Delete account,,탈퇴하기,
ui_main_mypage_delete_account_1,,,Delete,,탈퇴,
ui_main_mypage_logout,,,Sign out,,로그아웃,
ui_main_mypage_exit,,,Exit,,종료하기,
ui_main_mypage_homepage,,,HomePage,,홈페이지,
ui_main_mypage_term,,,Terms of Use,,이용약관,
ui_main_mypage_policy,,,Privacy Policy,,개인정보취급방침,
ui_main_change_myInfo_type_0,,,Edit information,,내 정보 변경하기,
ui_main_change_password,,,Change your password,,비밀번호 변경하기,
ui_main_change_term,,,Change your consent of the terms,,정보제공동의 변경하기,
ui_main_change_title,,,<b><size=52>{textLabel.userName}</size></b>'s \n Information,,<b><size=80>{textLabel.userName}</size></b>님 기본정보,
ui_main_email_empty,,,No registered information,,등록된 정보 없음,
ui_main_change_myInfo_type_1,,,Edit information,,내 정보 수정,
ui_main_change_myinfo_save,,,Save,,저장하기,
ui_main_change_myinfo_id,,,ID,,아이디,
ui_main_change_myinfo_name,,,Name,,이름,
ui_main_change_myinfo_nickname,,,NickName,,닉네임,
ui_main_change_myinfo_birth,,,Year of Birth,,출생년도,
ui_main_change_myinfo_gender,,,Gender,,성별,
ui_main_change_myinfo_education,,,Education,,최종학력,
ui_main_change_myinfo_mobile,,,Mobile,,휴대폰 번호,
ui_main_change_myinfo_email,,,E-mail,,이메일 주소,
ui_main_change_myinfo_help,,,* You will receive a report by email.,,* 종합인지보고서를 메일로받으실 수있습니다  ,
ui_main_change_myinfo_current_password,,,Current password,,현재 비밀번호,
ui_main_change_myinfo_new_password,,,New password,,새 비밀번호,
ui_main_change_myinfo_password_placehold,,,Confirm password,,비밀번호 확인,
ui_main_change_myinfo_password_confirm_placehold,,,Password,,비밀번호,
ui_main_change_myinfo_term_consent_provide_information,,,Consent of the terms,,정보제공동의,
ui_main_change_myinfo_term_agree_all,,,Agree to All,,전체동의,
ui_main_change_myinfo_term_agree_sms,,,Providing benefits and information via SMS,,SMS를 통한 혜택 및 정보 제공,
ui_main_change_myinfo_term_agree_notifications,,,Providing benefits and information via push notifications,,푸시 알림을 통한 혜택 및 정보 제공,
ui_main_change_myinfo_term_agree_email,,,Providing benefits and information via email,,이메일을 통한 혜택 및 정보 제공,
ui_main_change_myinfo_term_agree_help,,,"* If you have not registered your email, please update your email information in the account settings.",,* 이메일을 등록하지 않으셨다면 정보변경에서 이메일 정보를 갱신해주십시오.,
ui_main_point_title,,,My SmaCare Points,,나의 스마케어 포인트,
ui_main_point_help,,,Collect SmaCare Points to participate in various events.,,스마케어 포인트를 모아서 다양한 이벤트에 참여 하실 수 있습니다.,
ui_main_point_not_yet,,,Coming Soon :),,준비중 입니다 :),
ui_main_point_use,,,Use Points,,포인트 사용하기,
ui_main_digital_brain_screening,,,Digital Brain Screening,,디지털 브레인 스크리닝,
ui_main_digital_brain_screening_intro_title,,,What is Digital Brain Screening?,,디지털 브레인 스크리닝은?,
ui_main_digital_brain_screening_intro_description,,,DBS is a self-diagnosis test for dementia that allows you to easily measure the level of cognitive decline. Shall we get started?,,"DBS는 치매 자가진단 검사로써
인지 저하의 수준을 간단하게
측정할 수 있는 검사입니다.
그럼 한번 시작해볼까요?",
ui_main_imi_intro_title,,,What is the Motor Imagery Test?,,운동 심상 검사란?,
ui_main_imi_intro_description,,,"Motor imagery refers to the brain activity of mentally imagining moving images. Through this test, you can predict the degree of cognitive decline.",,"운동심상(Motor imagery)이란,
움직이는 이미지를 마음속으로
상상하는 두뇌활동 입니다.
본 검사를 통해 인지 저하 정도를
예측할 수 있습니다.",
ui_main_ori_intro,,,What is the Orientation Test?,,지남력 검사란?,
ui_main_ori_intro_description,,,"Orientation is the ability to correctly recognize time, place, situations, or environments, and it is the ability that most noticeably declines with cognitive impairment. This test assesses the impairment of orientation.",,"지남력은 시간과 장소, 상황이나
환경을 올바르게 인식하는 능력으로
인지기능 저하시 가장 두드러지게
감소하는 능력입니다.
지남력의 저하여부를 판단합니다.",
ui_main_digital_brain_screening_description,,,Dementia Screening Test Using MMSE-K,,MMSE-K를 활용한 치매 선별 검사입니다,
ui_main_motor_test,,,Motor Imagery Test,,운동 심상 검사,
ui_main_motor_test_description,,,Motor Imagery Test,,운동심상 검사입니다.,
ui_main_orientation_test,,,Orientation Test,,지남력 검사,
ui_main_orientation_test_description,,,Date Orientation Test,,날짜 인지능력 검사입니다.,
ui_main_goto_result,,,View Past Test Results,,지난검사 결과보기,
ui_main_result_self_assessment,,,Dementia Self-Assessment Report,,치매 자가 진단 결과,
ui_main_result_training,,,Dementia Prevention Training Report,,치매 예방 훈련 결과,
ui_main_result_report,,,Brain and Cognition Reports,,두뇌인지종합보고서,
ui_main_result_modal_title,,,My Training Results,,나의 훈련 결과,
ui_main_result_modal_comment,,,"Shall we review your training results?
We analyze them from multiple perspectives.",,여러분이 하신 훈련 결과를 한번 살펴볼까요? 다방면으로 결과를 분석해드립니다.,
ui_main_result_modal_button_label,,,View Training Results,,훈련 결과보기,
ui_main_onboarding_beginning_introduction,,,Various training sessions are prepared for you.,,"다양한 훈련이
준비되어 있습니다.",
ui_main_onboarding_beginning_encourage,,,Let's work hard on your brain exercises today.,,"오늘도 두뇌운동을 열심히
해볼까요?",
ui_start_button_label,,,Start,,시작하기,
ui_today_training_banner_0,,,Start Today's Training,,오늘의 훈련 하기,
ui_today_training_banner_1,,,Engage in various trainings every day,,"매일매일 다양한
훈련을 진행하세요",
ui_main_game_category_memory,,,Memory,,기억력,
ui_main_game_category_language,,,Language Skills,,언어력,
ui_main_game_category_calculation,,,Calculation Skills,,계산력,
ui_main_game_category_attention,,,Attention,,주의집중력,
ui_main_game_category_spartial_perception,,,Spartial Perception,,공간지각력,
ui_main_result_past_test,,,Past scan results,,지난 검사 결과보기,
ui_main_history_point_0_legend,,,0,,0점,
ui_main_history_point_1_legend,,,12.5,,12.5점,
ui_main_history_point_2_legend,,,25,,25점,
ui_main_history_month_divider,,,/,,월,
ui_main_history_day,,, ,,일,
ui_main_result_month,,,Month,,월,
ui_main_result_week,,,Week,,주,
ui_main_result_year,,,Year,,년,
ui_main_result_view_by_result,,,View by Unit,,단위로 보기,
ui_main_result_digital_brain_screening_result,,,Digital Brain Screening Results,,디지털 브레인 스크리닝 성적,
ui_main_result_modal_warning_title,,,DBS screening test is still incomplete!,,"DBS 선별검사를
완료하지 않으셨네요!",
ui_main_result_modal_warning_comment,,,Accurate analysis requires the completion of the screening test.,,"선별검사를 완료해야
정확한 분석이 가능합니다.",
ui_main_result_modal_warning_button_label,,,Start the Test,,검사 시작하기,
ui_main_game_cover_label,,,Free Training Game,,무료 연습 게임,
ui_main_game_memory_title,,,Memory Training,,기억력 훈련,
ui_main_game_memory_black_stone,,,Find the Black Stone!,,검은돌을 찾아라!,
ui_main_game_memory_memory_pangpang,,,Memory PangPang,,메모리 팡팡,
ui_main_game_memory_pick_card,,,Which Card Should I Get?,,무슨 패를 먹을까?,
ui_main_game_memory_dig_jewel,,,Let's Dig for Gems,,보석을 캐자,
ui_main_game_memory_matching_pair,,,Matching,,짝 맞추기,
ui_main_game_memory_where_is_it,,,Where Is It?,,어디에 있을까,
ui_main_game_language_title,,,Language Skills Training,,언어력 훈련,
ui_main_game_language_proverb,,,Complete the Proverb,,속담 완성하기,
ui_main_game_languiage_guess_name,,,Guess the Name,,이름 알아 맞추기,
ui_main_game_languiage_catch_word,,,Word Catching,,단어 잡기,
ui_main_game_calculation_title,,,Calculation Skills Training,,계산력 훈련,
ui_main_game_how_much_is_it,,,How Much Is It?,,얼마일까요?,
ui_main_game_addition_subtraction,,,Addition/Subtraction,,더하기 빼기,
ui_main_game_attention_title,,,Attention Training,,주의집중력 훈련,
ui_main_game_attention_push,,,Press the Button,,버튼을 눌러라,
ui_main_game_attention_who,,,Who is it?,,누구일까요,
ui_main_game_attention_color,,,Colorful OX,,알록달록 OX,
ui_main_game_attention_shape,,,Find the Different Shape,,다른 모양 찾기,
ui_main_game_attention_bigger,,,Who is bigger? ,,누가 더 클까?,
ui_main_game_spartial_perception_title,,,Spatial Perception Training,,공간지각력 훈련,
ui_main_game_spartial_perception_hand,,,Which Hand is it?,,어느 쪽 손일까?,
ui_main_game_spartial_perception_direction,,,Find Different Direction,,다른 방향을 찾아라!,
ui_main_game_spartial_perception_stroll,,,Doctor's Stroll,,닥터의 산책,
ui_main_delete_user_info_warning,,,"You still have an active subscription period.
If you unsubscribe, even if you rejoin,
your payment history cannot be restored.
Do you want to unsubscribe?",,"결제기간이 남아있습니다
탈퇴 후에는 재가입해도
결제내역이 복구되지 않습니다
탈퇴하시겠습니까?",
ui_main_delete_user_info,,,Are you sure you want to unsubscribe?,,탈퇴하시겠습니까?,
ui_main_delete_button_label,,,Cancel Membership,,탈 퇴,
ui_main_exit_button_label_type_0,,,Exit,,종료,
ui_main_exit_warning,,,"If you exit now, your progress will not be saved.",,지금 종료하면 진행사항이 저장되지 않습니다.,
ui_main_exit_continue,,,Continue,,계속 진행 하기,
ui_main_exit_button_label_type_1,,,Exit,,종료하기,
ui_main_modal_recommend_membership_title,,,Become a Premium Member,,유료 회원이 되세요!,
ui_main_modal_recommend_membership_comment,,,"Enjoy new training modules and five areas of dementia prevention training anytime, anywhere.",,"새로운 훈련들과 5가지 영역의
치매 예방 훈련을 언제 어디서나
즐기실 수 있습니다.",
ui_main_modal_recommend_membership_try,,,Try a Training Session,,훈련 체험하기,
ui_main_modal_recommend_membership_pass,,,SmaCare Pass,,스마케어 이용권,
ui_report_loading_comment,,,"Loading…
Please wait a moment",,"로딩 중 입니다
잠시만 기다려주세요",
ui_report_title,,,My Report,,훈련 결과,
ui_report_tap_summary,,,Summary,,요약,
ui_report_tap_compare,,,Compare,,비교,
ui_report_tap_bygame,,,By Game,,게임별,
ui_report_training_progress_title,,,Progress,,나의 훈련 현황,
ui_report_training_progress_memory,,,Memory,,기억력,
ui_report_training_progress_language,,,Language Skills,,언어력,
ui_report_training_progress_calculation,,,Calculation Skills,,계산력,
ui_report_training_progress_concentration,,,Attention,,주의집중력,
ui_report_training_progress_spartial_perception,,,Spatial Perception,,공간지각력,
ui_report_training_cognitive_title,,,Cognitive Abilities,,나의 인지 능력,
ui_report_training_journal_title,,,Training Record,,나의 훈련 도감,
ui_report_training_journal_total_time,,,Today's Total Training Time,,금일 훈련 누적시간,
ui_report_training_journal_cumulative_time,,,Total Cumulative Training Time,,전체 훈련 누적시간,
ui_report_training_journal_completed_training,,,Number of Completed Trainings,,완료 훈련 횟수,
ui_report_select_age_title,,,Select Age Group,,나이대 선택,
ui_report_select_age_comment,,,Please select the age group you want to compare.,,비교하고 싶은 연령대를 선택하세요,
ui_report_select_age_default,,,All Users,,전체 이용자,
ui_report_select_age_item,,,{0} Age Group,,{0} 대,
ui_report_progress_help,,,"When your total training score reaches 1,000 points, you will level up by one tier.",,"훈련 점수 합계가 1,000점
이 되면 1단계씩 올라갑니다",
ui_report_progress_encourage,,,Achieve Higher Levels!,,더 높은 단계에 도달해보세요!,
ui_report_rank_label,,,What's My Rank Among 100 Users?,,나는 100명 중 몇 등 일까?,
ui_report_me,,,Me,,나,
ui_report_friends,,,Friends,,친구들,
ui_report_my_point,,,My Score,,나의 점수,
ui_report_user_average_point,,,Average User Score,,이용자 평균 점수,
ui_report_correction_ratio_with_name,,,{textLabel.userName}'s Correct Answer Rate,,{textLabel.userName}님의 정답률,
ui_report_correction_ratio,,,Correct Answer Rate,,정답률,
ui_report_compare_comment,,,Your brain is functioning healthily! Let's put in a little more effort to reach the top.,,"두뇌가 건강하게
황동하고 있네요! 조금만 더
노력해서 정상으로 가볼까요?",
ui_report_brain_age_title,,,My Smacare Brain Age.,,나의 스마케어 두뇌나이,
ui_report_brain_age_assessment,,,What is My Sma-Care Brain Age?,,나의 스마케어 두뇌나이는?,
ui_report_vip_only_comment,,,This feature is available to premium members only.,,본 항목은 유료회원에게 제공되는 서비스입니다,
ui_report_purchase_button_label,,,Purchase a Subscription.,,이용권 구매하기,
ui_report_recommendation,,,"Our Sma-Care service is provided for simple self-assessment/screening of cognitive functions and their status (please note that it is not intended for health examinations, verification, or treatment related to this). It utilizes a cognitive program developed through cooperative research with Seoul St. Mary's Hospital of Catholic University and its faculty (a program based on the MMSE-K dementia screening tool, adapted for online/mobile services). Please note that even if there are positive or negative analyses or related information about your health status through this service, we recommend that you consult a specialist or medical institution for advice on your health condition and hygiene safety.",,"당사의 스마케어 서비스는 인지 기능과 그 상태에 대한 간이한 자가 점검/스크리닝 목적으로 제공되고 있고(이와 관련 건강검진, 그 확인 또는 그 치료를 위한 것이 아님을 유의하시기 바랍니다), 가톨릭대학교 서울성모병원 및 그 교수진의  협력 연구를 통하여 개발된 인지프로그램(치매선별검사 도구인 MMSE-K를 기반으로 이를 온라인/모 바일 서비스에 적합하게 개발된 프로그램)이 사용되고 있습니다. 본 서비스를 통하여 이용자의 건강상태에 대한 긍정적 또는 부정적 분석이나 관련 정보가 있는 경우에도 이용자 자신의 건강상태 및 보건 위생상의 위해 여부 또 는 그 우려에 대하여는 전문의, 의료기관의 진료 및/또는 상담을 받아보시기를 권장합니다.",
ui_report_bygame_title,,,Training Results by Game.,,게임별 훈련 결과,
ui_report_bygame_othergame,,,Previous Menu,,다른 훈련 결과 보기,
ui_report_highpoint,,,Highest Score.,,최고점수,
ui_report_reaction_average_time,,,Average Reaction Time,,평균 반응 시간,
ui_login_account_label,,,Account,,ID/PW,
ui_login_mobile_label,,,Mobile,,휴대폰 로그인,
ui_login_id_label,,,ID,,아이디,
ui_password_button_label,,,Password,,비밀번호,
ui_login_id_placehold,,,Please enter your ID.,,아이디를 입력해 주세요.,
ui_login_password_placehold,,,Please enter your password.,,비밀번호를 입력해 주세요.,
ui_login_button_label,,,Login,,로그인,
ui_login_find_id,,,Find ID,,아이디 찾기,
ui_login_find_password,,,Find PW,,비밀번호 찾기,
ui_login_verfication_number,,,Verification Code,,인증 번호,
ui_login_mobile_login_button_label,,,Sign Up or Log In,,가입 또는 로그인,
ui_login_verification,,,Verify,,인증,
ui_confirm_no_space,,,Confirm,,확인,
ui_cancel,,,Cancel,,취소,
ui_reset_password,,,Reset Password,,비밀번호 재설정,
ui_new_password,,,New Password,,신규 비밀번호,
ui_confirm_password,,,Confirm Password,,비밀번호 확인,
ui_new_password_placehold,,,Please enter your password.,,비밀번호를 입력해주세요.,
ui_new_password_placehold_again,,,Please re-enter your password.,,재 입력 해주세요.,
ui_login_name_field_placehold,,,Your name,,홍길동,
ui_signup_title_label,,,Terms of Service,,스마케어 이용약관,
ui_signup_all_agree_label,,,Agree to All Terms,,이용약관 전체동의,
ui_signup_use_app_consent_label,,,"I agree and accept Terms of Service.
(Required)",,스마케어 이용약관에 동의(필수),
ui_signup_information_consent_label,,,"I agree and accept Privacy Policy.
(Required)",,개인정보 수집·이용 동의(필수),
ui_signup_marketing_consent_label,,,"I agree and accept Marketing Term.
(Optional)",,마케팅 정보 활용 동의(선택),
ui_signup_view_view_label,,,Details,,자세히보기,
ui_signup_benefit_agree_label,,,Agree to All Benefit Notifications,,혜택 알림에 전체 동의,
ui_signup_email_label,,,Email,,이메일,
ui_signup_notifications_app_label,,,App Push,,앱 알람(PUSH),
ui_signup_via_you_label,,,You can receive comprehensive brain and cognitive reports via email.,,두뇌 인지 종합검사를 받아보실 수 있습니다.,
ui_next,,,Next,,다음,
ui_prev_abb,,,Prev,,이전,
ui_prev,,,Previous,,이전,
ui_signup_nickname_label,,,Nickname,,· 닉네임 ,
ui_signup_nickname_placehold,,,Enter if applicable,,선택시 입력,
ui_signup_nickname_check,,,Verify,,중복 확인,
ui_signup_gender,,,Gender,,· 성별,
ui_signup_birth_placehold,,,8-digit Date of Birth,,생년월일 8자리,
ui_signup_birth_label,,,Date of Birth,,· 생년월일,
ui_signup_verification_label,,,Verify,,실명 인증,
ui_signup_education_level_label,,,Education,,· 최종학력,
ui_signup_education_selection_default,,,Please select your education level,,교육 받은 정도를 알려주세요  ,
ui_signup_education_selection_help,,,Please select,,선택하세요,
ui_signup_button_label,,,Sign Up,,회원가입,
ui_signup_welcome,,,Congratulations on signing up!,,회원가입을 축하합니다!,
ui_signup_welcome_intro,,,Now you can use Sma-Care! Shall we get started?,,"이제 스마케어를
이용하실 수 있습니다!
시작해 볼까요?",
ui_signup_welcome_greeting,,,"I am your personal doctor, Doo Doctor. Nice to meet you.",,"저는 여러분의 주치의
두닥터 입니다
만나서 반갑습니다",
ui_signup_welcome_greeting_response_0,,,"Yes, nice to meet you too!",,"네, 저도 반가워요!",
ui_signup_welcome_greeting_response_1,,,Diagnose Dementia,,치매 진단하기,
ui_purchase_coupon_button_label,,,Enter Coupon,,쿠폰 입력하기,
ui_purchase_pass_description,,,The pass is,,이용권 사용은,
ui_purchase_progress_check,,,Would you like to proceed with the purchase?,,구매를 진행하시겠습니까?,
ui_purchase_warning,,,Remember the picture below,,※ 이용권을 구매하신 다음 사용하신 후에는 환불되지않습니다.,
ui_purchase_button_label,,,Purchase it,,선택한 이용권 구매,
ui_purchase_coupon_modal_title,,,Register Coupon,,쿠폰 등록하기,
ui_purchase_coupon_digit,,,4 Digits,,4자리,
ui_purchase_a_month_pass,,,1-Month Pass,,1개월 이용권,
ui_purchase_three_month_pass,,,3-Month Pass,,3개월 이용권,
ui_purchase_a_year_pass,,,1-Year Pass,,12개월 이용권,
ui_purchase_unlimit_pass,,,Unlimited Pass,,무제한 이용권,
ui_register,,,Register,,등록,
ui_today_training_title,,,Today's Training,,오늘의 훈련,
ui_today_training_subtitle,,,Today's training is ready.,,오늘의 훈련이 준비되었습니다.,
ui_today_training_button,,,Next Training,,다음 훈련,
ui_today_training_modal_title,,,We prepare 5 new trainings every day.,,매일 새로운 5개의 훈련을 준비합니다.,
ui_today_training_modal_comment_0,,,Stimulate your brain for free every day for 365 days,,365일 매일 무료로 두뇌를 자극해보세요,
ui_today_training_modal_comment_1,,,You have completed all of today's training. Well done!,,오늘의 훈련을 모두 완료했습니다. 수고하셨습니다!,
ui_today_training_modal_comment_2,,,Shall we start training freely now?,,이제 자유롭게 훈련해 볼까요?,
ui_back,,,Go Back,,돌아가기,
ui_today_training_modal_comment_3,,,Well done! Shall we start training freely now?,,수고하셨습니다! 이제 자유롭게 훈련해볼까요?,
ui_brain_report_title,,,Brain and Cognition Reports,,두뇌인지종합보고서,
